PID,PID,condition
4072,4072,tumor
4073,4073,tumor
5258,5258,tumor
5260,5260,tumor
5261,5261,tumor
5262,5262,tumor
5263,5263,tumor
5264,5264,tumor
a10q_n,a10q_n,normal
a10r,a10r,tumor
a10r_n,a10r_n,normal
a10s,a10s,tumor
a10t,a10t,tumor
a10t_n,a10t_n,normal
a10u,a10u,tumor
a10u_n,a10u_n,normal
a10w,a10w,tumor
a10w_n,a10w_n,normal
a10x,a10x,tumor
a10x_n,a10x_n,normal
a10y,a10y,tumor
a10y_n,a10y_n,normal
a10z,a10z,tumor
a10z_n,a10z_n,normal
a110,a110,tumor
a110_n,a110_n,normal
a112,a112,tumor
a113,a113,tumor
a113_n,a113_n,normal
a114,a114,tumor
a114_n,a114_n,normal
a115,a115,tumor
a116,a116,tumor
a116_n,a116_n,normal
a118,a118,tumor
a118_n,a118_n,normal
a119,a119,tumor
a119_n,a119_n,normal
a11a,a11a,tumor
a11a_n,a11a_n,normal
a11a_n.1,a11a_n.1,normal
a11a_n.2,a11a_n.2,normal
a11a_n.3,a11a_n.3,normal
a11b,a11b,tumor
a11b_n,a11b_n,normal
a11c,a11c,tumor
a11c_n,a11c_n,normal
a11d,a11d,tumor
a11d_n,a11d_n,normal
a12j,a12j,tumor
a12j_n,a12j_n,normal
a1ea,a1ea,tumor
a1eb,a1eb,tumor
a1eb_n,a1eb_n,normal
a1ec,a1ec,tumor
a1ec_n,a1ec_n,normal
a1ed,a1ed,tumor
a1ee,a1ee,tumor
a1ee_n,a1ee_n,normal
a1ef,a1ef,tumor
a1eg,a1eg,tumor
a1eg_n,a1eg_n,normal
a1eh,a1eh,tumor
a1eh_n,a1eh_n,normal
a1ei,a1ei,tumor
a1ei_n,a1ei_n,normal
a1ej,a1ej,tumor
a1ej_n,a1ej_n,normal
a1ek,a1ek,tumor
a1el,a1el,tumor
a1el_n,a1el_n,normal
a1ht,a1ht,tumor
a216,a216,tumor
a216_n,a216_n,normal
a217,a217,tumor
a23b,a23b,tumor
a23b_n,a23b_n,normal
a25s,a25s,tumor
a25t,a25t,tumor
a25u,a25u,tumor
a25v,a25v,tumor
a25x,a25x,tumor
a25y,a25y,tumor
a25z,a25z,tumor
a26s,a26s,tumor
a26s_n,a26s_n,normal
a2hs,a2hs,tumor
a2ht,a2ht,tumor
a2ht_n,a2ht_n,normal
a2ka,a2ka,tumor
a2kb,a2kb,tumor
a2kc,a2kc,tumor
a2l6,a2l6,tumor
a2l6_n,a2l6_n,normal
a2qq,a2qq,tumor
a2qr,a2qr,tumor
a2qr_n,a2qr_n,normal
a39v,a39v,tumor
a39v_n,a39v_n,normal
a39w,a39w,tumor
a39w_n,a39w_n,normal
a39x,a39x,tumor
a39x_n,a39x_n,normal
a39y,a39y,tumor
a39z,a39z,tumor
a39z_n,a39z_n,normal
a3a1,a3a1,tumor
a3a1_n,a3a1_n,normal
a3a2,a3a2,tumor
a3a2_n,a3a2_n,normal
a3a3,a3a3,tumor
a3a3_n,a3a3_n,normal
a3a4,a3a4,tumor
a3a4_n,a3a4_n,normal
a3a5,a3a5,tumor
a3a5_n,a3a5_n,normal
a3a6_n,a3a6_n,normal
a3a7,a3a7,tumor
a3a8,a3a8,tumor
a3a8_n,a3a8_n,normal
a3a9,a3a9,tumor
a3ch,a3ch,tumor
a3ch_n,a3ch_n,normal
a3ci,a3ci,tumor
a3cj,a3cj,tumor
a3ck,a3ck,tumor
a3ep,a3ep,tumor
a3ep_n,a3ep_n,normal
a3i0_n,a3i0_n,normal
a3i1,a3i1,tumor
a3i1_n,a3i1_n,normal
a3jl,a3jl,tumor
a3kf,a3kf,tumor
a3kg,a3kg,tumor
a3m9,a3m9,tumor
a3ma,a3ma,tumor
a3mb,a3mb,tumor
a3mc,a3mc,tumor
a3r2_n,a3r2_n,normal
a3rk,a3rk,tumor
a3rk_n,a3rk_n,normal
a459,a459,tumor
a495,a495,tumor
a496,a496,tumor
a4na,a4na,tumor
a4nb,a4nb,tumor
a4nd,a4nd,tumor
a4nf,a4nf,tumor
a4nh,a4nh,tumor
a4ni,a4ni,tumor
