PID,PID,condition
4072,4072,Hoshida_C2
4073,4073,Hoshida_C2
5258,5258,Hoshida_C2
5260,5260,Hoshida_C2
5261,5261,Hoshida_C2
5262,5262,Hoshida_C2
5263,5263,Hoshida_C2
5264,5264,Hoshida_C2
a10q_n,a10q_n,normal
a10r,a10r,normal
a10r_n,a10r_n,normal
a10s,a10s,normal
a10t,a10t,normal
a10t_n,a10t_n,normal
a10u,a10u,normal
a10u_n,a10u_n,normal
a10w,a10w,Hoshida_C2
a10w_n,a10w_n,normal
a10x,a10x,normal
a10x_n,a10x_n,normal
a10y,a10y,normal
a10y_n,a10y_n,normal
a10z,a10z,normal
a10z_n,a10z_n,normal
a110,a110,normal
a110_n,a110_n,normal
a112,a112,Hoshida_C2
a113,a113,Hoshida_C2
a113_n,a113_n,normal
a114,a114,Hoshida_C2
a114_n,a114_n,normal
a115,a115,normal
a116,a116,normal
a116_n,a116_n,normal
a118,a118,Hoshida_C2
a118_n,a118_n,normal
a119,a119,normal
a119_n,a119_n,normal
a11a,a11a,normal
a11a_n,a11a_n,normal
a11a_n.1,a11a_n.1,normal
a11a_n.2,a11a_n.2,normal
a11a_n.3,a11a_n.3,normal
a11b,a11b,normal
a11b_n,a11b_n,normal
a11c,a11c,normal
a11c_n,a11c_n,normal
a11d,a11d,normal
a11d_n,a11d_n,normal
a12j,a12j,normal
a12j_n,a12j_n,normal
a1ea,a1ea,normal
a1eb,a1eb,normal
a1eb_n,a1eb_n,normal
a1ec,a1ec,Hoshida_C2
a1ec_n,a1ec_n,normal
a1ed,a1ed,normal
a1ee,a1ee,normal
a1ee_n,a1ee_n,normal
a1ef,a1ef,Hoshida_C2
a1eg,a1eg,Hoshida_C2
a1eg_n,a1eg_n,normal
a1eh,a1eh,Hoshida_C2
a1eh_n,a1eh_n,normal
a1ei,a1ei,Hoshida_C2
a1ei_n,a1ei_n,normal
a1ej,a1ej,Hoshida_C2
a1ej_n,a1ej_n,normal
a1ek,a1ek,normal
a1el,a1el,Hoshida_C2
a1el_n,a1el_n,normal
a1ht,a1ht,Hoshida_C2
a216,a216,normal
a216_n,a216_n,normal
a217,a217,normal
a23b,a23b,Hoshida_C2
a23b_n,a23b_n,normal
a25s,a25s,Hoshida_C2
a25t,a25t,Hoshida_C2
a25u,a25u,normal
a25v,a25v,normal
a25x,a25x,Hoshida_C2
a25y,a25y,Hoshida_C2
a25z,a25z,normal
a26s,a26s,normal
a26s_n,a26s_n,normal
a2hs,a2hs,normal
a2ht,a2ht,normal
a2ht_n,a2ht_n,normal
a2ka,a2ka,Hoshida_C2
a2kb,a2kb,Hoshida_C2
a2kc,a2kc,normal
a2l6,a2l6,normal
a2l6_n,a2l6_n,normal
a2qq,a2qq,normal
a2qr,a2qr,normal
a2qr_n,a2qr_n,normal
a39v,a39v,Hoshida_C2
a39v_n,a39v_n,normal
a39w,a39w,normal
a39w_n,a39w_n,normal
a39x,a39x,normal
a39x_n,a39x_n,normal
a39y,a39y,Hoshida_C2
a39z,a39z,Hoshida_C2
a39z_n,a39z_n,normal
a3a1,a3a1,Hoshida_C2
a3a1_n,a3a1_n,normal
a3a2,a3a2,normal
a3a2_n,a3a2_n,normal
a3a3,a3a3,Hoshida_C2
a3a3_n,a3a3_n,normal
a3a4,a3a4,normal
a3a4_n,a3a4_n,normal
a3a5,a3a5,normal
a3a5_n,a3a5_n,normal
a3a6_n,a3a6_n,normal
a3a7,a3a7,normal
a3a8,a3a8,normal
a3a8_n,a3a8_n,normal
a3a9,a3a9,Hoshida_C2
a3ch,a3ch,normal
a3ch_n,a3ch_n,normal
a3ci,a3ci,normal
a3cj,a3cj,normal
a3ck,a3ck,normal
a3ep,a3ep,Hoshida_C2
a3ep_n,a3ep_n,normal
a3i0_n,a3i0_n,normal
a3i1,a3i1,Hoshida_C2
a3i1_n,a3i1_n,normal
a3jl,a3jl,Hoshida_C2
a3kf,a3kf,normal
a3kg,a3kg,normal
a3m9,a3m9,Hoshida_C2
a3ma,a3ma,Hoshida_C2
a3mb,a3mb,Hoshida_C2
a3mc,a3mc,Hoshida_C2
a3r2_n,a3r2_n,normal
a3rk,a3rk,Hoshida_C2
a3rk_n,a3rk_n,normal
a459,a459,Hoshida_C2
a495,a495,normal
a496,a496,normal
a4na,a4na,Hoshida_C2
a4nb,a4nb,normal
a4nd,a4nd,Hoshida_C2
a4nf,a4nf,normal
a4nh,a4nh,Hoshida_C2
a4ni,a4ni,normal
a4nl,a4nl,normal
a4nn,a4nn,Hoshida_C2
a4no,a4no,normal
a4np,a4np,normal
a4nq,a4nq,Hoshida_C2
a4nr,a4nr,Hoshida_C2
a4ns,a4ns,normal
a4nv,a4nv,normal
